Topic Id,Top Words...
0,phaedr soc lover art speech beloved soul lysias rhetoric phaedrus writing discourse madness truth beginning nature god love charioteer divine
1,form general act result beautiful depends felt sequence face suffering representation makes union complete pleasure tells fail period sympathy cast
2,motion time things infinite moved change rest thing locomotion contrary equal continuous finite void part alteration point motions number movent
3,thou things thy thee nature thyself art good thing life wilt power hast universe reason time kind dost act part
4,friends good regard put day find told care fact country give fortune wise war business days hope mine gave matter
5,cf callias 2 1 7 beauty autolycus soul al de niceratus hell company hermogenes pride il charmides 13 jester turned
6,world moment eye sun find real pass explain path origin spring leave approach general visible beginning conceived rise leaves heavens
7,letter friendship caesar rome friend write senate brother affection republic case pompey brutus quintus great position feelings public wished love
8,nature part reason kind made time natural case virtue means hand make subject difference change found speak hold order point
9,reason idea knowledge distinct parts true remains brought relation mass degree faculty produced hold utterly secondary brings remain principles stands
10,thing matter movement nature man present 1 thought parts 2 contraries white capable time line knowledge exists similarly part cases
11,life form beauty quality evil beings place supreme time reality fire good identity god part presence reasoning primal powers sensation
12,state justice evil injustice unjust guardians glaucon city ing honor rulers answer words war natures youth hear money men adeimantus
13,man good things people virtue men friendship friends wisdom noble concerned character act practical end nature friend happy respect excess
14,process makes principles force states principle sphere takes move measured past contained distance ceases mind passing divided derived events prevent
15,things substance number sense man form exist principles prior elements essence substances genus numbers kind unity good forms matter species
16,great life true make suppose things soul opinion order mind greater son children young made matter begin thing agree age
17,state government democracy oligarchy form property forms class offices virtue magistrates constitution children constitutional oligarchies political democracies war end constitutions
18,man sort thing view called person thought call sense power fear pleasure father courage small proper surely vice experience bodily
19,man men gods things place give live end manner death present long turn desire observe free make dead words makes
20,principle earth state contrary object eternal material long exist perception produce speak regard forms necessity qualities question moving animal attribute
21,city men citizens women god account show hate market temper naturally winter corn zeus sacrifice honour celts temple hatred due
22,soc men virtue good socrates boy taught knowledge meno figure feet true man answer question teachers line opinion things double
23,soc cal pol good evil socrates rhetoric gor gorgias answer art polus callicles injustice cr friend pleasure words argument unjust
24,good things rest question possess point make common character object taking condition stand measure beautiful belongs actual perfect work side
25,love socrates beauty fair agathon lover praise gods beautiful words men speak god replied desire honour youth beloved loves wisdom
26,place body sense magnitude fact respect true parts impossible coming moves end question move result attribute changing state greater half
27,science true definition case formula sort called potency animal qua evidently general sciences senses units mathematical change mathematics musical contrary
28,plat iii ii mem lit socrates 3 iv 5 4 10 answered 12 9 antisthenes 6 14 vi critobulus 17
29,gods pay fire high story wrong author stage note gold turning childhood secret riches bear lots qualities folly peace fight
30,tragedy poet action poetry imitation plot epic character poets art poetics parts word end diction proper recognition verse words incidents
31,act universe vision divine life image action virtue objects knowing memory material ideal pure entity difference sees eternity greater experience
32,men citizens law good people rule laws states life common wealth rich power poor office share city principle citizen education
33,true good replied truth knowledge soul nature friend speaking pleasures art wise reason question argument class imagine understand wisdom desire
34,thought time hope day received sorrow back written dinner property don praise policy favour fully letters army success account labour
35,pleasure acts bad pleasant state pleasures life sake thought justice reason pain activity objects love choice honour action kind happiness
36,socrates soul body simmias cebes death harmony true crito earth argument reason replied immortal opposites born die existence time admit
37,time body eyes word long souls found state day set greatest call told spoke mind remember ill light sight full
38,age life men scipio death years young laelius pleasure cato youth gaius strength nature publius discourse long consulship year brought
39,soul principle intellectual unity body matter thing nature existence power living sense intellection entire light order realm movement motion fact
